Variable,MAE,RMSE,R2
ptend_t,5.906188267638594,9.454719699871125,-5.349231237242257
ptend_q0001,7.29925954998956,11.755201328472408,-inf
cam_out_NETSW,233.93254547646893,346.095608663714,-4.313889426185496
cam_out_FLWDS,78.2164394886308,98.41517594275406,-22.882801318183805
cam_out_PRECSC,12.27401446652206,22.879647462514672,-inf
cam_out_PRECC,122.56112931237796,265.43657962889745,-130739.37450260454
cam_out_SOLS,97.01831745814557,153.19858090658352,-2.775268704661355
cam_out_SOLL,103.95025083135852,161.28552995239176,-2.088381356285235
cam_out_SOLSD,46.05891501588615,65.1036396781144,-1.0984741196091934
cam_out_SOLLD,26.51355588319802,40.79576668387165,-1.1002601423621983
