Variable,MAE,RMSE,R2
ptend_t,5.856896262306582,8.996036784557509,-4.28229444465638
ptend_q0001,7.151491728393904,11.214005050285781,-inf
cam_out_NETSW,228.6768651547042,335.5834769165087,-3.8862827246598606
cam_out_FLWDS,76.49529480565513,95.93733129397997,-22.0874796419852
cam_out_PRECSC,11.04474007684805,19.451672827118216,-inf
cam_out_PRECC,128.91941877158322,249.6414821318621,-121413.13031576923
cam_out_SOLS,94.76676891713335,148.7882070727126,-2.480440807549275
cam_out_SOLL,101.68522368255356,156.4122501169837,-1.8587207154478904
cam_out_SOLSD,45.39806112305067,62.543611326843354,-0.9352251245447109
cam_out_SOLLD,26.36208697323281,38.897670973626894,-0.9067389207025748
