Variable,MAE,RMSE,R2
ptend_t,2.864290789207873,4.592571033965483,0.5213891004864666
ptend_q0001,4.779139298760898,7.658148798602045,-inf
cam_out_NETSW,15.208176344884697,28.03678794690372,0.9778823454910969
cam_out_FLWDS,6.450730377175028,8.360050961470847,0.8895307551579901
cam_out_PRECSC,4.027397404230229,6.403200728351531,-inf
cam_out_PRECC,33.96732834840703,65.55455540601398,-172.76348547401062
cam_out_SOLS,9.22401511533201,18.979124348401317,0.9516090465993075
cam_out_SOLL,11.973588156813676,23.761191484491615,0.9366193806012766
cam_out_SOLSD,5.765639386129702,10.691543273654213,0.9421076560150551
cam_out_SOLLD,5.892654952558086,11.258889186061596,0.8334692709914204
