Variable,MAE,RMSE,R2
ptend_t,5.639769618420806,8.88848020427338,-4.066301878494968
ptend_q0001,6.853818540529768,10.980936189873116,-inf
cam_out_NETSW,220.0526801538537,320.3919084312932,-3.2279387569494964
cam_out_FLWDS,68.90139498810261,83.69124944122639,-15.251356651377245
cam_out_PRECSC,11.800853333007801,20.423639798793424,-inf
cam_out_PRECC,116.87073600073809,244.65493836405554,-109389.48051108087
cam_out_SOLS,90.64495765986067,140.96427619981895,-1.9807735471322954
cam_out_SOLL,97.26930680524656,148.05858759811372,-1.4694811341187368
cam_out_SOLSD,44.22623188086655,60.24405489083023,-0.788901195911806
cam_out_SOLLD,25.399193800409922,37.29116073259792,-0.7401060837702595
