output_idx,MAE,RMSE,R2
0,0.0038371184228083617,0.008776863334215327,0.7462372677579449
1,0.0058384191326838275,0.012228176295448924,0.9061115621136091
2,0.01227639987663045,0.019616677918336923,0.9331371636838847
3,0.017054664651699015,0.02499718787283119,0.975880260097863
4,0.02973339384651073,0.039200356185939755,0.9890369703204418
5,0.05000608155735184,0.06462715415760394,0.9920659761048501
6,0.06262054631296561,0.0808950402151861,0.9940698968369691
7,0.09213162706622141,0.12014152165648007,0.9895875239349974
8,0.10768899817886594,0.14004139401268725,0.9821471648487711
9,0.134875705881066,0.17280991413038058,0.97405813718393
10,0.1507430703642941,0.19293580594852408,0.9667674283780844
11,0.15954541885399812,0.2037805041895234,0.9617301380205859
12,0.16846074145410872,0.21402678598114697,0.954394386477709
13,0.18697924999290308,0.23680908969494419,0.9402030136892853
14,0.2200248147727574,0.27685149291868716,0.898901295288493
15,0.25593059338854146,0.32871502727375157,0.8200736239283609
16,0.3094692910240373,0.4308724166747247,0.6713528638166985
17,0.4586632369543872,0.7729486642708006,0.3540846880173694
18,0.746646953759336,1.414828186892783,0.17848786054879773
19,1.0233879354719537,1.9564377747459976,0.16597296048013035
20,1.1516390681008286,2.213153218610597,0.1970134599158039
21,1.2475484920709285,2.395683210763005,0.24337711699550713
22,1.4253224674901819,2.6929199150934053,0.24525230923486366
23,1.5823651243810417,2.9175451023000476,0.2778829907381344
24,1.730202747136931,3.206598931398149,0.36346027530879876
25,1.8554883663986341,3.4394733967433684,0.4453319072123003
26,1.998229247233293,3.671848890118764,0.5058956624317088
27,2.177686191963407,3.9532128511735265,0.5552948534236849
28,2.376970485936724,4.295313985456855,0.6004073512609241
29,2.5966958267168203,4.7217651532004625,0.6378109239744648
30,2.869836980688269,5.245352283102133,0.6626665284511102
31,3.1918638429566975,5.866596434962379,0.673864953993581
32,3.520519105535005,6.503387356833788,0.6806480994879497
33,3.883504700721666,7.149582736656445,0.6814271895552856
34,4.2539265006109375,7.826868386017914,0.6760620137008099
35,4.6165681378190095,8.43886372244461,0.6679083724949626
36,4.959542334504401,8.990812984173354,0.6513772683414775
37,5.287171813894682,9.434836478212773,0.6285270072887971
38,5.554396766181263,9.744665043123263,0.604031751506449
39,5.730594800811661,9.87661587455621,0.5776315355874438
40,5.862562426265331,9.863295027001884,0.5481035123708073
41,5.897875596157075,9.695119168490903,0.5255072147927786
42,5.93935787591855,9.536247332273428,0.4998889400233142
43,5.999611390387936,9.398856447938382,0.4771315603980985
44,6.0136237226304905,9.211079939723957,0.46171297796291383
45,5.965791188383569,8.968180061158531,0.44338768865001016
46,5.813788072623505,8.606272767031578,0.4273908488137006
47,5.579355342094634,8.152594122197849,0.4071287493761588
48,5.244984620091738,7.6066422969152905,0.39301859856088334
49,4.860775814929919,7.016152245485125,0.3816986660677244
50,4.489418696277352,6.460652045367923,0.37556315575856186
51,4.147441340320138,5.960965322224233,0.37305653944760025
52,3.849236113561586,5.5507660725736505,0.37118472877598857
53,3.6064770655617147,5.244306313244002,0.36510319450482887
54,3.4184197223077675,5.030061740860256,0.3541857750507611
55,3.2814944623399356,4.895430443985307,0.3432908716304109
56,3.1899606829767566,4.83195541131995,0.3505854245399238
57,3.1687349310248716,4.8334866305628035,0.36924400884158654
58,3.2963007650501566,5.008530890894033,0.4134859784957478
59,3.766963235575392,5.5788825963633535,0.6173225896861537
60,1.929064683352114e-06,2.2028661218927824e-06,-inf
61,8.520039781534395e-06,8.833214262544417e-06,-inf
62,1.443776479727738e-05,1.528504729063124e-05,-inf
63,7.81669263929111e-05,8.0829899294089e-05,-inf
64,2.4177560811799417e-05,2.710793313013667e-05,-inf
65,2.448894177646909e-05,2.6764675025451368e-05,-inf
66,0.00016677060519375164,0.0001751813390522307,-inf
67,0.00020851265146225634,0.00021739409758748658,-inf
68,0.0032279394388419606,0.003335634829063483,-inf
69,0.00305506484014028,0.0031568461513465248,-inf
70,0.005393401017294992,0.005632508724232777,-inf
71,0.0013227962682686265,0.0013830040942992966,-inf
72,0.00024009547662034818,0.0002713483018780885,-4449.287069271311
73,0.0005463861267598574,0.0006289961298995057,-17807.088443079218
74,0.0019668969992992585,0.0020790523370734747,-7526.516788750508
75,0.0054508100477823835,0.006771108127563259,-12809.693288367132
76,0.0013626515126515344,0.0040228072402519735,-67.53964821834178
77,0.0016908169011068148,0.004659236138242189,-6.992585604444184
78,0.007605677990003383,0.013222828610595585,-16.349165672804
79,0.013724127639857198,0.028387332758620876,-2.1002875136435573
80,0.033521040965418934,0.06535571888121183,-2.485389576397127
81,0.06326515287715467,0.13780368592689243,-1.6073647527582542
82,0.14815239276260314,0.29816739829237554,-3.099158200932523
83,0.2585210126643367,0.5224123595321525,-2.357166118986679
84,0.4373672512811511,0.8401714339906962,-1.535314324077526
85,0.6777921439722387,1.254273966456932,-1.8715466309064779
86,0.8657419033941428,1.6674602935178953,-1.1228614996831676
87,1.0938500507235156,2.1285928043966447,-0.567559103195081
88,1.3437847916672945,2.655656010971174,-0.09226031184754864
89,1.621836146542881,3.264044393458187,0.12340321193701487
90,1.9721438641978182,4.008802548342479,0.2629590938173186
91,2.4072036464086004,4.9048968275349765,0.3872886635765302
92,2.918875400966151,5.952288022965789,0.43697552924538635
93,3.503928297580534,7.139776764504927,0.4486059157401577
94,4.21795395754012,8.534862868064174,0.45685799941997
95,5.014291734391787,10.04486187086998,0.4471071489812548
96,5.887808749805994,11.72502154036875,0.4216410993856014
97,6.851406566536634,13.39833073614579,0.37625522902279324
98,7.900041839675004,15.060951493889624,0.34563784986150786
99,8.86518096862384,16.570541009747117,0.3302335787949244
100,9.853583928306513,18.03753793006238,0.3071569569888435
101,10.706974570956676,19.07791700226736,0.2958059567052225
102,11.586686356215381,20.032926009058826,0.2732839236778832
103,12.366704182310032,20.660321053012392,0.26544878592679205
104,13.029113333084899,21.1039767549622,0.26100792797406075
105,13.503379788346512,21.261470574381036,0.25414361502958543
106,13.679356556791383,21.0092807596391,0.25590605957263085
107,13.560293742464196,20.39231674532967,0.25025836630256815
108,13.133505860523087,19.40697926431061,0.243498059483396
109,12.524240067679324,18.260449351314676,0.22959650687577363
110,11.77773561333199,17.015060379300646,0.2587582558477714
111,11.097012471916907,15.899847854299951,0.28112995746773545
112,10.508810775652305,14.974393297001098,0.29915156861819375
113,9.966830950483159,14.151023766511793,0.3168249749491208
114,9.394372051079573,13.359591327336346,0.3172880048737254
115,8.72121918915091,12.472439396560182,0.3043989491430524
116,7.894587450937382,11.39494885458626,0.30599875460484555
117,7.103634209556588,10.298944254514465,0.31946214671995443
118,6.500113719745184,9.445703758695329,0.3535672350576458
119,5.974698028599181,8.736717014514197,0.3880099887526482
120,12.522542894845687,24.323795563201113,0.9833317431403614
121,5.426842763809659,7.12790484620685,0.9219547521453021
122,3.250949095427405,5.26523179406307,-inf
123,30.90189509014536,60.96447375883984,-113.30403763233129
124,8.129490482492761,16.999015991868216,0.9614568284440873
125,10.588790720784337,21.747244732322756,0.9470550302980003
126,4.75161256707021,9.428335454124806,0.9555217349347366
127,5.078554187488095,10.296525237019273,0.8619384727411585
