output_idx,MAE,RMSE,R2
0,0.005336696829347773,0.010257840427809526,0.6284914001548138
1,0.01073204997412821,0.01780898981866448,0.7814713838779438
2,0.02329680676942251,0.03287473988591667,0.8009354820402358
3,0.04733123312552553,0.06272484772600884,0.8540508826441527
4,0.0814591647376105,0.10368663833061965,0.9252708881089816
5,0.0976414287619936,0.12304242904854441,0.9740033573158277
6,0.10355630510592868,0.1318793290393082,0.9848348569275913
7,0.14830659813151817,0.1875097524822219,0.9768499267071222
8,0.1772639680019441,0.22242067487131564,0.9627441126476405
9,0.2167144860717127,0.2684894533373933,0.9511255874599432
10,0.25023256001741917,0.30932367224081525,0.9353827633217081
11,0.26791352000537944,0.33269410753599066,0.9224352421122414
12,0.26075846202749947,0.3274169569953746,0.9118827595118816
13,0.25778754568652823,0.32455841995615975,0.8983849739163948
14,0.26220071905131415,0.33036329563419536,0.8613907451737465
15,0.27386855746255034,0.3528376376574022,0.7972602846263036
16,0.3187910766343168,0.45104057635984424,0.6401218470165603
17,0.4676802219304819,0.788064241257393,0.3271870273560877
18,0.7519432854867771,1.4273439541627668,0.1616727135786655
19,1.0429821342473142,1.9768583748831083,0.14387628489803692
20,1.198253001590823,2.2579441176332113,0.12805336788823443
21,1.2907459927679568,2.443487053489679,0.18420753727266695
22,1.457353387128636,2.7378247294135765,0.21478845922375314
23,1.6280768972512225,2.975041877780758,0.2612242197968839
24,1.8134447126765918,3.2915231567837466,0.3267262881239305
25,1.9799119080797656,3.542542064065079,0.3784973185264559
26,2.145509480967085,3.799098012004274,0.444178933144402
27,2.424283395673834,4.170638243289024,0.4239290276487584
28,2.622801693300095,4.548786116358911,0.5032793918394866
29,2.906080406042707,5.10447321352309,0.5458342851934241
30,3.240822610230806,5.773549136918589,0.5712171967642602
31,3.6489501405519804,6.565935441341172,0.5617461631804567
32,4.053328961236744,7.347249743483688,0.5804192002089688
33,4.430901207166819,8.043859824546091,0.5728482988951106
34,4.851956519407678,8.798073531268097,0.5741725237316047
35,5.268129341289646,9.489972855474855,0.572162136919192
36,5.630667839074751,10.06315253905494,0.5632092945606265
37,5.9469375569357155,10.486277315575853,0.5381549041393414
38,6.171799497224214,10.755953960387913,0.5146728438142133
39,6.308860842030438,10.840496749378906,0.48937120727984357
40,6.37943226077947,10.776355183031974,0.46200375769404783
41,6.439638766372585,10.60601596272486,0.41838335399251675
42,6.469025343838084,10.382154380125442,0.39732688015620826
43,6.4622143592396855,10.144626981408903,0.3906978248805026
