Variable,MAE,RMSE,R2
ptend_t,2.8149511679505097,4.566573114553386,0.5318129945604956
ptend_q0001,4.631488186785111,7.4626783123960845,-inf
cam_out_NETSW,14.408275451861451,28.426612325250073,0.9792546373524015
cam_out_FLWDS,6.07247984207234,7.894223632902505,0.8863211127048484
cam_out_PRECSC,2.999830751165783,5.219782431923252,-inf
cam_out_PRECC,39.304542694991646,78.14477318840106,-313.6757920007644
cam_out_SOLS,8.376097631525269,18.19099899668817,0.9566609014640436
cam_out_SOLL,10.737227072013217,22.843739593408255,0.9420609687159182
cam_out_SOLSD,4.790644375989332,9.824328100120006,0.9522863181309326
cam_out_SOLLD,5.004009526143815,10.399762403727392,0.8603651911724741
