Variable,MAE,RMSE,R2
ptend_t,3.681261118628525,5.880525780470899,0.33775352081786264
ptend_q0001,5.418130143136057,8.618387555199861,-inf
cam_out_NETSW,61.71553630250235,91.79516853348368,0.7850001878831767
cam_out_FLWDS,16.69727658097676,19.844678519145937,0.11569998722998942
cam_out_PRECSC,10.108489608505847,12.571716651731863,-inf
cam_out_PRECC,71.25277268491682,130.70886648413594,-4107.105394435256
cam_out_SOLS,34.14864050584893,51.5073513153028,0.6948412088633784
cam_out_SOLL,38.00004400494286,56.4138376713537,0.6844421704207164
cam_out_SOLSD,13.86291823134276,21.48269524978539,0.7765426645787358
cam_out_SOLLD,12.212487483957979,18.95004279418139,0.5382982309664225
