Variable,MAE,RMSE,R2
ptend_t,2.7813037578906568,4.5703591904490075,0.5634661600147495
ptend_q0001,4.58672207037506,7.4471256469460485,-inf
cam_out_NETSW,17.138783671026207,30.15190776571374,0.9748199777560876
cam_out_FLWDS,5.8527910664010605,7.620782650636312,0.9114512439521699
cam_out_PRECSC,3.7406483767184358,5.825605098696516,-inf
cam_out_PRECC,38.49568707498122,77.1802422344271,-527.4705640225479
cam_out_SOLS,9.537515577304479,18.851745593810566,0.9537478777141923
cam_out_SOLL,12.085800297364486,23.4501841477184,0.9394186429894176
cam_out_SOLSD,5.563674864428395,10.31088727002914,0.9473883113979605
cam_out_SOLLD,5.461927119314413,10.710136644963598,0.8516212093003244
