Variable,MAE,RMSE,R2
ptend_t,3.6713179882488944,5.67914477580556,0.08147911161356318
ptend_q0001,5.476374947351873,8.509053094862349,-inf
cam_out_NETSW,32.5088159650312,52.618690942783644,0.9065647500288568
cam_out_FLWDS,10.111122566887472,12.572390885125346,0.7782911937013415
cam_out_PRECSC,6.0606115369710425,9.23490647431956,-inf
cam_out_PRECC,70.89546372854281,120.20271951375987,-9739.702696308186
cam_out_SOLS,18.257747374151077,31.274712922192453,0.861102735539534
cam_out_SOLL,22.00204474082584,36.35855993428953,0.8460789240621492
cam_out_SOLSD,10.296916349764226,17.197388735667214,0.8548707880467927
cam_out_SOLLD,8.990256869708281,15.712511712422513,0.6860409799212343
