Variable,MAE,RMSE,R2
ptend_t,5.1813674643603544,7.79699680992013,-1.5236009906867134
ptend_q0001,6.467560606732719,10.088961000916832,-inf
cam_out_NETSW,210.0984598467152,289.2948809552206,-2.171482460134752
cam_out_FLWDS,72.62252992317642,89.50822168456604,-19.293666727113564
cam_out_PRECSC,12.319479735532397,20.42086438242384,-inf
cam_out_PRECC,105.24797451036902,190.57534919664204,-37911.12413101255
cam_out_SOLS,84.55336043790257,124.2779411339494,-1.0755375045502984
cam_out_SOLL,91.07893008670504,131.6092673039856,-0.8168576962000328
cam_out_SOLSD,44.78198721922953,59.28584012637407,-0.7340467802353116
cam_out_SOLLD,26.56722148739009,37.38233183577905,-0.7618006520303563
