output_idx,MAE,RMSE,R2
0,0.003950642854485572,0.008922470435291674,0.7365031443205972
1,0.007435454113229561,0.014079403406882905,0.8750447578622524
2,0.012825560884087988,0.020516297518086292,0.927195740393311
3,0.020455419556092213,0.029465598461529473,0.9681134162657566
4,0.032077337749861955,0.04222022041708807,0.9874756737900423
5,0.04845126508446158,0.06351311271763697,0.9923731675904399
6,0.06274395359889647,0.08173821699834664,0.9935437908700931
7,0.08981446601673071,0.11768600830570393,0.9892966381641788
8,0.10642188988471284,0.13921257990602534,0.9820432454252442
9,0.13508142399047676,0.1734341723630107,0.9744178993315469
10,0.15212616173296434,0.1948233042591491,0.9672903580669626
11,0.1627607211113322,0.2077510690379649,0.9613638015396387
12,0.17483079467448845,0.22286801482637522,0.9516680627433053
13,0.19192147158239103,0.24362068555153452,0.9366164077076616
14,0.2217680107902326,0.27933541801560974,0.8963941832105572
15,0.2614373457131319,0.3347334610403678,0.8132929824350753
16,0.31013109363672353,0.4370478919404473,0.6612966219989147
17,0.45915979815999325,0.7814746459063251,0.3435975330392888
18,0.7531468580945605,1.4214867866106322,0.1655594525669712
19,1.0386484250313968,1.9698233268386236,0.14245963273409853
20,1.1812692868638097,2.231279399707684,0.15809925603486075
21,1.2513167394463347,2.3990148789859633,0.2298840631498109
22,1.3927273712559536,2.6664116358560364,0.284521223881508
23,1.538409473760464,2.8949122364696422,0.332780188034245
24,1.7282888445347648,3.222452782151143,0.3776510965849345
25,1.897895805759789,3.4819953050637023,0.4293747418049563
26,2.0667850432475796,3.7369298453992155,0.477227945212956
27,2.2573897492880377,4.032064688684256,0.5189045588875972
28,2.476739604067319,4.4002953803748746,0.5632678443944233
29,2.740100168174969,4.901558102267908,0.5950706111604903
30,3.069669724272522,5.528883319105604,0.6182784060414566
31,3.419357976822068,6.241015146964017,0.6279418371898996
32,3.8421713823011356,6.993691941138213,0.6151011796978371
33,4.273718899441545,7.738649259386136,0.6061928127446178
34,4.707134268905764,8.512460669033501,0.5992509933274422
35,5.118097067633696,9.20183231605636,0.5931572009231222
36,5.483915340665907,9.801447716436671,0.5743031469433847
37,5.877859514921098,10.280752004793678,0.5475721174688156
38,6.136469319148709,10.572509651524703,0.5215135659838921
39,6.21547322664811,10.63301793436817,0.5101203267020288
40,6.276528133767812,10.556076382425479,0.48614321685797507
41,6.347177945684283,10.364074052399298,0.4573369879995961
42,6.368700053643693,10.159734401303467,0.430551680289871
43,6.357722709170605,9.931366012788132,0.41661585086564107
44,6.344846793240031,9.689684255151137,0.4052634110180707
45,6.296722323763961,9.406022214254339,0.3903550088405671
46,6.130664118387663,9.007262382521484,0.3756892693610296
47,5.857527089831247,8.487655600691156,0.3587422735388919
48,5.441833402691756,7.855996237243573,0.3530205886654389
49,5.023386547919842,7.217078684009856,0.3464708936642031
50,4.613830891765147,6.616068456088333,0.34536886631909836
51,4.2418603890557085,6.0828590565558045,0.3460047940048363
52,3.930309830997524,5.653307028829604,0.34601451229848745
53,3.686406611952517,5.337033901257942,0.34058202460889325
54,3.4807804682152557,5.10199943956416,0.3343457203103622
55,3.333452032322288,4.955161705812024,0.3266699248543346
56,3.2471265732267915,4.895677130327546,0.3330453784858811
57,3.2457198367809297,4.918039970247307,0.34586143005376396
58,3.381864382719968,5.097916918276064,0.39112916590450775
59,3.9502597197760223,5.804391740953257,0.5861600062905309
60,8.185081065998163e-05,9.562937894086393e-05,-inf
61,0.00014680078865049578,0.00017151226311421091,-inf
62,0.000260574203591563,0.00030443679588689675,-inf
63,0.0004546907739047472,0.0005312329824137723,-inf
64,0.0007734329390839864,0.0009036270440229153,-inf
65,0.0012705333287393223,0.0014843932197107907,-inf
66,0.0019990919859146105,0.0023355996297471384,-inf
67,0.002998179040222104,0.003502887549997209,-inf
68,0.004285906823210079,0.005007425430535388,-inf
69,0.005869012442689059,0.006857002401180191,-inf
70,0.007761387349216467,0.009067835760063566,-inf
71,0.009989986946389062,0.011671661317187517,-inf
72,0.012587530564208277,0.014701640240933657,-9283856.206000933
73,0.015478613738732267,0.018090801725441846,-2027895.7418007373
74,0.01851192820199869,0.021656295960918063,-390246.2350436375
75,0.02162427746996952,0.025866624204867864,-129593.45919689757
76,0.02545666152979691,0.030171892837222204,-52528.767905533896
77,0.027957284233479787,0.03326916128406401,-2201.7537422810274
78,0.031203371267286725,0.03831762736572986,-150.9955042724453
79,0.034312743789308625,0.04849658322401715,-53.84186908067667
80,0.04766022476504789,0.07783223783044974,-11.273513339664722
81,0.08536559792115354,0.1552012995937322,-9.222836298743891
82,0.15270135044130453,0.30629703958358795,-5.294508100246711
83,0.28414283661905654,0.5472438452470355,-3.7260998085429
84,0.4601562886439165,0.8719989564533597,-3.013960794438367
85,0.6682161583415337,1.2712221533850767,-2.525959435949456
86,0.897251594061231,1.7227364901914328,-1.730150848844494
87,1.139322139399918,2.2062937351769274,-0.9413120830518767
88,1.4060712701679845,2.7623823737255133,-0.370160489217505
89,1.7165049235954664,3.4116827462310844,-0.005568335052055266
90,2.091475628388537,4.199163450242785,0.2111366992308361
91,2.546561953572594,5.124459831948616,0.3393306178011293
92,3.1073066672904903,6.228129694639307,0.32646531550840746
93,3.77283861495154,7.481853671123415,0.35885094886086444
94,4.502668876251184,8.896552244595682,0.3644684859400223
95,5.301379463418617,10.428982049556012,0.38245300085813194
96,6.250006686883798,12.177122333797408,0.3392748330347008
97,7.292112105773327,13.903123112738939,0.2618796330045748
98,8.367220147604636,15.59891462326302,0.12478396264729703
99,9.325993569439591,17.122076301399314,0.19300659059518546
100,10.263236815848709,18.589773330303498,0.21436730904482793
101,11.218727588164015,19.669401829520655,0.21228191055688736
102,12.131557739611674,20.6479290904169,0.19520807009855348
103,12.885588055656072,21.221909532689928,0.1938041525592886
104,13.519881130039032,21.66284682421498,0.20603692393833828
105,13.967362807620189,21.794290758811318,0.2048138784869072
106,14.162113160025031,21.58541604950422,0.19983765215481994
107,14.012414318539134,20.931082762673103,0.19521317343491096
108,13.55726507034972,19.903206394836335,0.1839341935877732
109,12.799775246793947,18.618051839231082,0.21885892947272398
110,12.01604757547232,17.29285342850766,0.2386468266317625
111,11.313379340222317,16.15632445719866,0.25320253811614957
112,10.69063224421484,15.190057161353222,0.2704680658682301
113,10.158930526452659,14.359396507115497,0.2886601123535267
114,9.552361618163781,13.548841479436541,0.2923725129232598
115,8.94755818668965,12.71694798887217,0.2750968293987986
116,8.102273750080842,11.634158902384293,0.2763821415760037
117,7.304551367118369,10.562170835079554,0.2840168092854662
118,6.702275575753842,9.707549435951265,0.31598519522430796
119,6.0939559504067455,8.906129617466776,0.3644359188290695
120,14.101704083977381,26.680926008585672,0.9808078387761273
121,5.993748075277138,7.768251432654882,0.9030768595917085
122,3.603589162284665,5.738521304303582,-inf
123,39.45634422237022,73.17768456233146,-334.3210848275765
124,8.843455104289092,18.153156200577737,0.9550076001556009
125,11.376608893158226,22.891803995804494,0.9403306741696178
126,5.195288515248856,10.188336990850267,0.9483747886075404
127,5.458516869315267,10.858159535912586,0.8475184676334487
