output_idx,MAE,RMSE,R2
0,0.013709015456143616,0.019634415783378167,-0.7105486465016632
1,0.036521105182833115,0.04779455702180805,-0.8071775350335532
2,0.08540404388400412,0.10781054694467913,-1.0881520806906362
3,0.19488028236387564,0.24735450909164194,-1.0749336780390524
4,0.4324078353067898,0.5548452511200328,-1.0731913684789245
5,0.8544420466609841,1.0981784386160627,-1.1850719081434387
6,1.260249854788893,1.6169512323925435,-1.307025319774071
7,1.4430329490717462,1.8439515926528631,-1.3444419530790908
8,1.3180089797122592,1.6739625434152356,-1.3984604123502364
9,1.3953108535152328,1.761114076511331,-1.4920231867426976
10,1.4055079595457531,1.7712276839278578,-1.4458878043379044
11,1.3866210845089946,1.7462194173527281,-1.3368661531411454
12,1.2965128979360512,1.628367402017366,-1.204904785372154
13,1.216081666733397,1.5180350251482622,-1.1812948068250442
14,1.0815620224408429,1.3358530738316337,-1.176012271967892
15,0.9980494251087594,1.2260251560110813,-1.3616163855792103
16,0.9645745879064859,1.200248382880145,-1.6181834463418514
17,1.0172581593263132,1.3583425300238303,-1.4750416346802806
18,1.255172647174704,1.916103235240281,-1.031315401492073
19,1.4383977848885305,2.381724865529448,-0.7792180902104132
20,1.7097843921467473,2.8908023341322466,-1.2735198664058085
21,1.8533187658734096,3.2180716001879683,-1.282283584569353
22,2.2567532432601527,3.8404289280412534,-1.8314436608228692
23,2.782997733209515,4.605978150580568,-3.0370525479981674
24,3.459597025084135,5.692490237671126,-5.05423839849849
25,4.112002018035191,6.9504391237391445,-7.407250048005067
26,4.8191598644546145,8.45935293019569,-10.399609054726778
27,5.597443302256022,10.11567302068468,-13.014791330228496
28,6.413973060633121,11.88996250958011,-15.261579236714676
29,7.337008732188874,13.89879207065916,-16.94542041393606
30,8.314871292938712,15.927603749048956,-17.12755077412023
31,9.203048770426948,17.63966082938544,-15.916762856928223
32,10.017830583662873,19.01231470699693,-14.006932853439066
33,10.718185127288118,20.091253891699335,-11.753042824129585
34,11.343550536647063,20.95735300794932,-9.729150990444074
35,11.84700336579848,21.420446400805275,-7.937780467300828
36,12.141764598862872,21.39761240251981,-6.3160504226515215
37,12.260548593126723,20.985504298575815,-4.961994318768293
38,12.178394144588708,20.316302820416436,-3.88420047879338
39,11.92204086552024,19.369862618377454,-3.02493264207995
40,11.580025078734502,18.332839324508765,-2.4414306129387646
41,11.116485185797467,17.1438902205206,-1.9329393249976679
42,10.745685124880007,16.16149746359682,-1.6113746513252316
43,10.408887582936863,15.326639805316427,-1.3676742897570013
44,10.1536454880572,14.60382140350008,-1.1985937636860575
45,9.809001154885076,13.85082070898794,-1.0646350595035128
46,9.21846649298751,12.904151350352365,-0.8662299746318309
47,8.636973418779407,11.969983811027808,-0.8033371889572382
48,7.9991774471932375,11.014137388744034,-0.7566953298233141
49,7.3494392845856815,10.073237296182116,-0.7081684764267364
50,6.7762261612639945,9.252481129581907,-0.6468311879975198
51,6.295042625726775,8.553354058772776,-0.622118068230176
52,5.986989100257642,8.069877276602107,-0.6456433164689365
53,5.71805088058538,7.673215265206227,-0.6326671912337843
54,5.497079829999735,7.365659980200281,-0.6065982337234238
55,5.2697620858927925,7.101361330204436,-0.5377876058513822
56,5.143529430468011,7.018462204785706,-0.48860995959371406
57,5.13662828431178,7.108149333842756,-0.46719828155601073
58,5.710856771558134,8.06239926647958,-0.6783178408151942
59,8.978255543762364,12.628197288082125,-1.4941639520400087
60,7.632407762257674e-06,1.0824153803084414e-05,-inf
61,8.609903142070062e-06,1.0494386795779952e-05,-inf
62,8.749316621937534e-05,0.00010662095466014861,-inf
63,0.0004261929073276988,0.00044734497073757503,-inf
64,0.0002011654728367381,0.00021657122013535082,-inf
65,0.0005994316397636705,0.0007145995679022875,-inf
66,0.00045371752411409763,0.0005529265243163808,-inf
67,0.004734330901915335,0.005384753779846496,-inf
68,0.0001239062819215171,0.00024738424357662194,-inf
69,0.00034913945834690014,0.0005216612659323926,-inf
70,0.0027418828447476214,0.0031466085797983976,-inf
71,0.007377765276029152,0.008311779027828713,-inf
72,0.04655347498413407,0.05070460690845857,-192414842.54052797
73,0.007156476395788237,0.007651277167474556,-1142322.7003593198
74,0.007478807637674816,0.009189435609578996,-151336.64674629495
75,0.0007959952042059905,0.0025994581839977877,-510.4811066976103
76,0.0012912356395050949,0.004216708529265641,-353.5371710594001
77,0.001761199633013314,0.005158306683655793,-14.750909143070933
78,0.004323212673728022,0.01104567211934724,-3.229050568948182
79,0.04732849786004043,0.05932676468342982,-153.93463396837447
80,0.03501060555979399,0.07489381883723918,-9.572698433905261
81,0.08830828744792896,0.20346120517669597,-33.89033667635129
82,0.21080010942075633,0.5004404086724656,-63.6310644895027
83,0.4544444373527021,1.0467259276008252,-136.6505925479541
84,0.839050357404426,1.9756714315556019,-259.05413389306074
85,1.4063794775939844,3.2200542785658848,-368.2751797506383
86,2.0303969038321834,4.736168551560439,-455.9793269104477
87,2.71889750824651,6.292950731867865,-451.52032399702153
88,3.465608439806822,7.87694527878003,-395.62944827169787
89,4.251381030656332,9.655016518112637,-330.79477367521037
90,5.107343348753372,11.48290851399618,-261.2258129960912
91,5.942981796042194,12.971127768841628,-172.65628445314294
92,6.683581690929468,14.11729018232954,-107.2538938968428
93,7.38180475414201,15.100258927161326,-63.093328126658776
94,8.123955339694197,16.081513534680017,-37.18940275850346
95,8.97030057934604,17.237793728113175,-23.272986314858056
96,9.883569152056983,18.567744233836688,-14.877346084246104
97,10.718153792716224,19.775975732464012,-9.894152076544094
98,11.606065751284087,21.002497766422408,-6.999064935471453
99,12.528747967427933,22.140016993723624,-4.965955759814214
100,13.523313388573726,23.437426576510305,-4.0655921905691255
101,14.486085222929281,24.562107832450568,-3.710019435279025
102,15.476643803251536,25.64690727563401,-3.793975195479787
103,16.370877513387267,26.47499517329777,-4.00227474460877
104,17.105857090633467,27.032076271098266,-3.9137527486459134
105,17.606506144318555,27.189365898357323,-3.6170822335906947
106,17.63168285237693,26.649985742317117,-3.099475559086214
107,17.08804433578444,25.417574178405093,-2.3654650255565164
108,16.28399325104562,23.92708698170726,-1.8897807425209903
109,15.580986986442907,22.56954200867143,-1.6468861695161774
110,14.785564624803806,21.220247138776564,-1.474026521347788
111,14.115874905832143,20.106679309078366,-1.4440859963164232
112,13.858999881699825,19.58513954547026,-1.6669799502060065
113,13.80970923008445,19.29443230865193,-1.9685219366671713
114,13.759338432363492,18.985234561343557,-2.3168616631509287
115,13.263130037325093,18.106040230673106,-2.0551807423961654
116,12.852721718431093,17.683656063620433,-2.1709620296191794
117,11.993139770437514,16.811233479970696,-2.121325227407096
118,11.631047656579293,16.76614693342545,-2.2473541835177064
119,10.983239191816532,15.215882620854776,-1.5122547140985858
120,234.6681948642706,343.97534402202587,-4.274205246683565
121,77.75667490136838,97.19576058089153,-22.920827593453954
122,11.13202067178279,20.363815543765053,-inf
123,105.99228848197684,221.88260029169092,-72718.3574048966
124,97.73751178838923,152.18718471453482,-2.7364891161050573
125,104.8498281165306,160.41041491704644,-2.066269724518975
126,44.80004227322817,63.18905352540471,-0.9713741654095692
127,25.487288906027732,39.2809425767415,-0.9354126017359771
