output_idx,MAE,RMSE,R2
0,0.0018253414697925324,0.0043194207580613325,0.9322520029403845
1,0.004021811846016152,0.009053006587055011,0.9456711162033571
2,0.006224945332280687,0.01136403971327799,0.9750437782339612
3,0.010268201569133844,0.015937124488525103,0.988290033579242
4,0.01969455970180533,0.02598397612145913,0.9954532321359691
5,0.0320375029762883,0.04225329284420482,0.9967900105241384
6,0.043861678658898985,0.057734579297110365,0.9970836273281889
7,0.055761435634862244,0.07423903615097967,0.996024990497749
8,0.06450944695024899,0.08600235102772887,0.9939384426566839
9,0.08035760991600487,0.10595962644792213,0.9916054577024013
10,0.09183775883622591,0.12011320470534682,0.9888944340122513
11,0.10311266383208,0.13353200466406515,0.9861527460201179
12,0.11518866165323921,0.14781622308029602,0.9815546421327414
13,0.12076667699061866,0.15494363109777354,0.9767828981036216
14,0.14754252527357006,0.18796898396464198,0.9546261939115285
15,0.16795899369004966,0.22123448368139678,0.9153657968694565
16,0.22935615708444645,0.3400822388881941,0.788462952413958
17,0.39767592231719856,0.7052263690351076,0.45928891462935306
18,0.6886938038726574,1.326031757593529,0.27934766186282584
19,0.9555479603214921,1.8260662041375921,0.2596177904081713
20,1.0417704389121132,2.0398064353434697,0.3007455921424666
21,1.1268797469979528,2.196051122137147,0.3377723147655259
22,1.23553589243125,2.413003253560927,0.3926010362993191
23,1.3726660000775723,2.5984038020822573,0.42905267642323147
24,1.5542546238866228,2.8678891440882928,0.45385672668618504
25,1.725500309246416,3.083661802282459,0.4723664968373866
26,1.854466169389583,3.2728134140518517,0.5111461523427886
27,1.9803263731322953,3.48597013910558,0.5920513282140317
28,2.1295151833761152,3.745203042518591,0.6444349538910902
29,2.302656519733658,4.073390424241581,0.6993170432473915
30,2.527499073652138,4.4886504926840844,0.7334253115701754
31,2.7873869561269706,4.993667624159614,0.7481324968942791
32,3.087077746370248,5.551967133065826,0.7552995990023607
33,3.40927514570843,6.136731043831287,0.7554652263026997
34,3.7133900774265776,6.726702237739633,0.7529417524342635
