Variable,MAE,RMSE,R2
ptend_t,2.659969338776565,4.345768547748724,0.5911360462696797
ptend_q0001,4.483527223792032,7.287337023300518,-inf
cam_out_NETSW,12.522542894845687,24.323795563201113,0.9833317431403614
cam_out_FLWDS,5.426842763809659,7.12790484620685,0.9219547521453021
cam_out_PRECSC,3.250949095427405,5.26523179406307,-inf
cam_out_PRECC,30.90189509014536,60.96447375883984,-113.30403763233129
cam_out_SOLS,8.129490482492761,16.999015991868216,0.9614568284440873
cam_out_SOLL,10.588790720784337,21.747244732322756,0.9470550302980003
cam_out_SOLSD,4.75161256707021,9.428335454124806,0.9555217349347366
cam_out_SOLLD,5.078554187488095,10.296525237019273,0.8619384727411585
