Variable,MAE,RMSE,R2
ptend_t,2.781736994131614,4.5699435715289995,0.5646157106020564
ptend_q0001,4.627141898080526,7.493035420663941,-inf
cam_out_NETSW,15.236686196105431,29.73056013317222,0.9764381754515948
cam_out_FLWDS,5.739176657360999,7.530553054770529,0.9087726347336983
cam_out_PRECSC,3.034112848554035,5.440673003457168,-inf
cam_out_PRECC,36.33799490028321,76.482245406196,-227.36006818437681
cam_out_SOLS,8.715317409287984,18.774776680745795,0.9531444552408891
cam_out_SOLL,11.077571577198102,23.318360714406793,0.9390962921931916
cam_out_SOLSD,5.00131843463443,10.153138247194489,0.9489370281452434
cam_out_SOLLD,5.172091925295304,10.66929452220793,0.8537962776037271
