Variable,MAE,RMSE,R2
ptend_t,5.7097175313993445,8.727464308669118,-3.802205778972404
ptend_q0001,6.863053720343018,10.75590592345095,-inf
cam_out_NETSW,226.7931370096079,329.384163258727,-3.6538106639037804
cam_out_FLWDS,74.56769381348566,92.58917829253046,-19.906080886583617
cam_out_PRECSC,12.72707804427109,23.138094149229914,-inf
cam_out_PRECC,118.30965402642055,224.22952365388758,-83072.46620876454
cam_out_SOLS,93.48443678997212,145.1015745007692,-2.2426957583465676
cam_out_SOLL,100.39604659426062,152.46762734418755,-1.6706952677558842
cam_out_SOLSD,45.288582071054215,61.19507692549107,-0.8486815433313083
cam_out_SOLLD,26.198277613972788,38.31648048383237,-0.8483418867864764
