Variable,MAE,RMSE,R2
ptend_t,5.524014189661321,8.69042991506846,-3.569730862815612
ptend_q0001,6.8404877110072695,10.912289421104868,-inf
cam_out_NETSW,231.11260848344486,330.1377377555933,-3.837090142578095
cam_out_FLWDS,73.93402071373028,91.2971734496188,-19.010101948472805
cam_out_PRECSC,11.040650474175868,19.60647421503754,-inf
cam_out_PRECC,108.76391732782152,224.75123445766994,-72953.20321055483
cam_out_SOLS,95.3512462381422,146.9972866698544,-2.4108104317784935
cam_out_SOLL,102.23284811729631,153.59931373100179,-1.7611924716469234
cam_out_SOLSD,45.74899403983631,61.37286434306077,-0.8640138498746003
cam_out_SOLLD,26.598057986146515,38.75577413082362,-0.9003130001339693
