output_idx,MAE,RMSE,R2
0,0.011728920808962219,0.01469297612071638,-0.878407585397303
1,0.027693529026252314,0.03394625390330267,-0.9744348492719352
2,0.06187606102542001,0.07674173645677913,-1.113319084348113
3,0.1459323618390535,0.1853526369948442,-0.8897439805172502
4,0.3534602985264794,0.45238463480100355,-0.8588817422014623
5,0.7276511648563391,0.9400043419916647,-0.8877951186080757
6,1.1035991513958792,1.4181673127081484,-0.9654731854840677
7,1.2824340113666302,1.6431812265699492,-1.049491843891444
8,1.097037665188765,1.398451286637543,-0.891759049047812
9,1.1367379433571774,1.4342415754437907,-0.8839992696823753
10,1.1724767215388134,1.5018368170914758,-1.0994988013229072
11,1.0732807388112746,1.360385165390133,-0.7498163661534518
12,1.1316787433018791,1.4253187325419951,-1.0831566485993838
13,1.2168633055826843,1.517664847084606,-1.7179102689814467
14,1.0358974485036698,1.2975521668043115,-1.5005542025575722
15,0.9204957923865689,1.1574682665220786,-1.5481688680662113
16,1.4909802997653345,1.7556038576455748,-6.738436831120419
17,0.6872040984402689,0.8764897330604902,-1.1306744761930467
18,1.3244137462265915,1.7262746105923223,-2.1504305059799065
19,1.3220472277534776,1.6923825963361454,-1.162635581750176
20,1.061562933748737,1.5065307066652898,-0.5998963574627507
21,1.2992010021399603,1.7445774529004288,-0.9092916553980734
22,1.2398815353059667,1.7558531536646684,-0.4990682953067558
23,1.663688471844983,2.2502783401640154,-1.0341862214752293
24,2.088662139063911,2.6873538617541866,-0.9667990477724844
25,2.04186473135852,2.832208190890562,-0.46177873577766615
26,2.5288461860712923,3.7732211524779937,-0.41198086726445005
27,3.599223754756356,5.183452680075694,-0.7110461476373879
28,3.860401712387644,6.002778476075695,-0.4804953354991197
29,4.391909946724966,6.882784035434012,-0.4309155036755059
30,5.361136377692576,8.367915286232392,-0.38941029476941424
31,6.531630614703041,9.852797322174666,-0.2960024273855779
32,7.026152256585495,11.166207177533032,-0.2711226068923773
33,8.922307397931688,12.792876183745548,-0.31210951262437714
34,9.180625629621261,14.122098853545362,-0.2639157874634521
35,10.514705218078811,15.060006959960312,-0.28158647175658924
36,9.792273884603096,15.263455892718481,-0.21122404269186035
37,10.217331564660643,15.258326398447123,-0.21168285233764728
38,10.298607499965312,15.184902398421126,-0.2020506801367492
39,9.662957015699039,14.138393235765324,-0.1900006605490987
40,9.705474697869727,13.648429551540637,-0.2059495286261812
41,8.33823197934713,12.593625263730045,-0.13014735647095899
42,8.048786552788007,11.890729818991396,-0.1207620778728884
