Variable,MAE,RMSE,R2
ptend_t,2.7270736400135367,4.469634187957288,0.5772523660084161
ptend_q0001,4.576847198066793,7.429023047455392,-inf
cam_out_NETSW,13.934320747530974,26.139340915205878,0.9827648750992563
cam_out_FLWDS,5.486563700165807,7.26190492618726,0.9215308516391777
cam_out_PRECSC,3.3559191113235887,5.422837953096078,-inf
cam_out_PRECC,34.53242692827094,69.32914838675009,-225.31365919316454
cam_out_SOLS,8.526221630178327,17.582949300060875,0.959110060612316
cam_out_SOLL,11.056595385288988,22.300376147473163,0.9447304424375336
cam_out_SOLSD,5.076010347819285,9.754707188420829,0.9525001482508769
cam_out_SOLLD,5.23669118438204,10.4686752625066,0.857207410586506
