Variable,MAE,RMSE,R2
ptend_t,2.8820122672597623,4.672231082782511,0.5287389219807771
ptend_q0001,4.652361955615086,7.533783406746221,-inf
cam_out_NETSW,17.921695055020546,31.576426235123307,0.974951872506613
cam_out_FLWDS,6.406242762047035,8.248853664531993,0.8897747962075476
cam_out_PRECSC,3.6336861386008557,6.013146953104072,-inf
cam_out_PRECC,41.082151095075716,79.97927479129001,-800.4026122389299
cam_out_SOLS,9.965397705945604,19.587865394497896,0.9503821237406491
cam_out_SOLL,12.56221937534554,24.016419374031145,0.9366479572939196
cam_out_SOLSD,6.710056699536764,10.853810476037133,0.9415788747885193
cam_out_SOLLD,6.020497127962341,10.965586617820447,0.8440457587397363
